geo,siec,year,value
BG,TOTAL,2014,2164.991
CY,TOTAL,2014,292.183
CZ,TOTAL,2014,6554.173
DE,TOTAL,2014,53648.149
DK,TOTAL,2014,4143.762
EE,TOTAL,2014,888.143
EL,TOTAL,2014,3844.875
ES,TOTAL,2014,14787.31
FI,TOTAL,2014,5126.2
FR,TOTAL,2014,38260.942
GE,TOTAL,2014,1194.979
HR,TOTAL,2014,2228.532
HU,TOTAL,2014,5487.452
IE,TOTAL,2014,2671.878
IS,TOTAL,2014,384.692
IT,TOTAL,2014,29545.98
LT,TOTAL,2014,1400.9
LU,TOTAL,2014,468.025
LV,TOTAL,2014,1238.471
MD,TOTAL,2014,1169.757
ME,TOTAL,2014,256.273
MK,TOTAL,2014,523.579
MT,TOTAL,2014,73.904
NL,TOTAL,2014,9116.954
NO,TOTAL,2014,4188.006
PL,TOTAL,2014,19034.846
PT,TOTAL,2014,2776.692
RO,TOTAL,2014,7409.681
RS,TOTAL,2014,2752.802
SE,TOTAL,2014,7229.333
SI,TOTAL,2014,1060.348
SK,TOTAL,2014,2325.037
TR,TOTAL,2014,19166.344
XK,TOTAL,2014,479.943
AL,coal,2015,NULL
AT,coal,2015,21.283
BA,coal,2015,55.122
BE,coal,2015,75.707
BG,coal,2015,133.448
CY,coal,2015,NULL
CZ,coal,2015,830.505
DE,coal,2015,600.785
DK,coal,2015,NULL
EE,coal,2015,2.594
EL,coal,2015,4.663
ES,coal,2015,88.588
FI,coal,2015,NULL
FR,coal,2015,36.374
GE,coal,2015,0.406
HR,coal,2015,3.129
HU,coal,2015,94.677
IE,coal,2015,233.621
IS,coal,2015,NULL
IT,coal,2015,NULL
LT,coal,2015,34.799
LU,coal,2015,0.616
LV,coal,2015,11.993
MD,coal,2015,38.693
